,acc_nbr,tearly,tmid,tlate,cearly,cmid,clate
2957,B3284BB2F7A45140BBF0E8AE1C9F0B26,1478.7267,0.0,0.0,90.3,0.0,0.0
2958,B355F45FE23A692B8D7EE4F9208F671B,6.36331,0.0,0.0,9.4,0.0,0.0
2959,B35DF136F8F5D7B240EFE34504EC5901,1769.94352,931.77712,0.0,190.7,93.2,0.0
2960,B36127105B70802B03DBC9BE8E181088,64.08872,0.0,0.0,32.6,0.0,0.0
2961,B361817A2E3F7285EE04EAD6F0FFD058,78.37212000000001,0.0,0.0,27.9,0.0,0.0
2962,B3784AF86D0E610D9A9324B15BA6073F,85.05109,0.0,0.0,8.7,0.0,0.0
2963,B383721DB88E2858CC91692D99AADCB7,1375.75058,624.50209,0.0,121.8,77.6,0.0
2964,B391DB9C12B19472E1C8E1CB4A6FE60A,86.76178,0.0,0.0,16.6,0.0,0.0
2965,B394AFD54700FA7B72545963022AD0D9,84.65104999999998,0.0,0.0,1.2,0.0,0.0
2966,B3DA85788BC1F083BCAE5D6E4ED7A391,2314.9816600000004,406.27513999999996,0.0,78.7,27.2,0.0
2967,B3E2348FC22FA1C189454321B2EAEB71,648.2681299999999,17.55104,0.0,86.4,1.5,0.0
2968,B3EFE6B49BE5BE6F92CB478FF851F399,349.71378999999996,0.0,0.0,30.1,0.0,0.0
2969,B3F6D112EE75A93B9DCBE9A3E7802D28,161.43746000000002,0.0,0.0,15.9,0.0,0.0
2970,B419379F4D3BF44E8BB1BF984584822E,0.50012,0.0,0.0,3.4,0.0,0.0
2971,B42BF585F9E2081C0DEF6CECBF35AF64,229.30119,254.86425,67.50456,42.1,37.8,6.3
2972,B451AC427B19552FC9A760C54D58C3E0,891.3219499999999,0.0,0.0,145.0,0.0,0.0
2973,B4533AFB2599280F2CE23C5D37A919E4,1.72992,0.0,0.0,8.6,0.0,0.0
